Response ID,Date,study,cond,CHANGE,1N,2N,3N,4N,5N,6N,7N,8N,9N,10N,11N,12N,PRE,1N,2N,3N,4N,5N,6N,7N,8N,9N,10N,11N,12N
R_sTlmS0njJEIqoXn,1,2,2,,0,0,0,-9,-1,60,60,-57,-100,-100,0,-70,,100,100,100,100,100,40,40,97,100,100,100,70
R_1mhkUaB3QYSzSnu,1,2,2,,1,7,7,2,31,2,-3,-20,-27,-20,-19,-16,,60,61,66,61,63,64,59,61,64,64,63,60
R_1pxMvCUZheWAq9c,1,2,2,,30,24,20,11,35,56,-55,-61,-21,-68,-17,-26,,61,71,66,81,60,39,60,100,81,76,19,34
R_31NN6bIk49GACGU,1,2,1,,24,11,14,0,12,11,-6,-9,1,-22,-4,-13,,38,52,62,91,48,52,74,39,70,38,45,32
R_9WBRpekZ1KKblLP,1,2,2,,27,-15,35,49,9,21,0,-20,3,-72,-91,-23,,5,61,16,51,91,45,61,43,97,90,95,90
R_1kMt4Z3Jotyce0W,1,2,2,,-10,60,2,0,0,17,-3,-62,0,-38,-96,-52,,44,32,90,100,100,81,68,87,100,43,100,62
R_1KxVTOEnRSCRQRf,1,2,2,,3,13,11,-50,2,-6,42,-58,-25,-77,1,-39,,70,68,26,83,88,74,27,75,96,87,67,68
R_324soKdvyo4vY7M,1,2,1,,-25,57,64,12,16,24,-53,-69,-80,-72,-1,-62,,87,33,15,67,59,62,65,92,84,72,6,68
R_3gLuNaSAXOWz1yZ,1,2,1,,-18,-15,4,-27,13,-13,-21,-14,-24,-70,-6,-14,,71,51,51,89,58,64,64,52,93,95,63,41
R_3ikWXCocFLvgl3I,1,2,1,,2,-60,11,-1,-6,6,-20,-33,-71,-56,0,2,,40,71,5,100,97,64,42,96,100,78,34,56
R_3R3GsUywlyZSlKv,1,2,2,,-9,27,36,13,7,-24,-33,-21,-10,-14,-69,-12,,92,67,33,87,88,36,62,42,99,32,85,23
R_1jH3EaFq31ryfZy,1,2,1,,5,-5,-6,25,40,69,11,-6,-46,-52,-59,-31,,94,42,35,70,60,31,26,52,77,52,86,31
R_1NsofGRC83UbsRB,1,2,1,,-80,60,40,-100,30,30,-30,-10,-100,-50,-10,0,,100,40,0,100,70,20,30,50,100,50,20,0
R_3e8ZJN7pkjQQqkH,1,2,1,,45,25,8,1,39,35,-5,-59,-47,-77,-14,-17,,30,75,77,62,34,38,7,100,68,82,38,55
R_3RkNxEoPfQ8vqvG,1,2,2,,67,12,31,27,0,22,-27,-44,15,-43,-72,-29,,33,88,69,73,100,78,27,44,85,43,72,29
R_211F3LArfivHwPZ,1,2,2,,100,40,0,0,100,0,-100,-100,0,-100,-100,-100,,0,60,100,100,0,100,100,100,100,100,100,100
R_2c8DFEZ82fu5pQp,1,2,1,,13,18,1,15,8,14,-7,-3,-88,-61,-28,-10,,81,70,98,82,87,71,36,74,91,76,44,29
R_3My44aQPhZfFmqO,1,2,2,,-33,-22,28,-2,-70,1,-50,-30,-20,-19,26,15,,71,45,13,42,92,84,92,80,91,50,34,25
R_5uo1wyOabFuv2g1,1,2,2,,-1,31,21,-31,20,21,-18,8,-14,-20,-1,-2,,59,29,10,82,55,39,43,65,95,56,56,45
R_UoLYr4GkDRAzgRj,1,2,2,,-5,47,51,-19,1,19,12,-1,-12,3,-28,8,,81,40,13,95,94,62,20,76,100,25,45,72
R_1FQzXtp0Mq39dWy,1,2,2,,56,-60,49,4,39,38,9,-28,-3,-13,-73,-24,,17,99,21,81,47,41,71,42,91,73,95,42
R_2YsjM6NzvylobgQ,1,2,2,,1,-30,20,1,12,12,33,42,2,-11,1,1,,30,50,30,50,70,70,50,50,90,30,50,50
R_33C35IDli5fSXay,1,2,1,,13,12,-16,-45,-2,0,-25,-13,-73,-42,-40,-35,,28,78,100,100,100,52,37,52,92,52,50,52
R_RavF5pirmkcvNi9,1,2,1,,27,49,-47,14,-2,2,-16,-34,-68,-42,-58,-3,,33,39,82,46,72,57,41,70,96,45,70,47
R_1257DMDbk3ELR7G,1,2,1,,5,-11,19,7,-13,1,-20,8,-81,-30,-13,-51,,29,72,81,73,63,29,20,30,81,30,39,51
R_2dLTM5RVIv0GSWf,1,2,1,,-24,-72,-74,-26,0,23,-16,-61,-83,-94,-4,-21,,66,95,91,87,79,52,36,100,100,100,16,52
R_2y4z8RxPzN4wsR9,1,2,2,,-40,9,-27,-3,-9,8,-36,-4,68,0,10,-29,,74,26,60,38,32,13,72,44,31,30,30,66
R_3iOb2vlkLdOs3DI,1,2,1,,9,0,-29,-29,0,8,-88,-51,-92,19,-39,-43,,91,100,100,100,100,92,91,81,92,81,39,71
R_2aXIzQ0VtmR5Ez1,1,2,2,,-50,25,42,-1,26,37,-78,76,0,-1,17,18,,72,75,29,100,74,61,78,23,100,3,83,82
R_2X1zJrG8s7MfWtg,1,2,1,,51,49,0,43,100,0,20,-7,0,0,-8,-49,,0,51,0,51,0,0,80,100,100,100,100,100
R_z68A119vMtpcXuN,1,2,1,,-6,3,-16,-5,4,21,-29,-34,-54,-34,-57,-29,,77,97,84,97,96,15,33,77,86,40,76,42
R_1LB8rbvX65OrTwg,1,2,2,,-14,35,9,18,11,1,-32,0,-11,-34,-29,-15,,59,61,72,81,67,53,47,53,79,38,61,15
R_2VDDOd4Y7Z6cbNp,1,2,2,,11,32,22,-11,3,40,-32,-11,-74,-11,-60,-16,,40,60,19,72,81,21,41,30,92,20,70,46
R_9oZXPIo1uwjRI0V,1,2,2,,-3,1,-26,6,-11,30,32,-47,-28,-21,-37,-54,,68,27,66,66,68,61,37,79,84,35,69,78
R_1gj9EQio3RP6o2u,1,2,2,,15,22,-8,3,12,28,-23,-14,4,-30,-54,-12,,33,48,65,79,48,29,43,44,30,58,70,38
R_1DBAzlVimyGbPSK,1,2,2,,-42,-6,-9,-5,-19,-37,-60,-46,-7,-10,-6,-36,,85,74,10,96,100,62,73,76,81,43,85,69
R_2v8i0McPRmB7Aqd,1,2,1,,21,-37,-20,-1,0,-4,-25,-53,-66,-45,-45,-22,,42,77,68,71,52,68,63,83,100,69,67,42
R_9GfCvPNLiqjBxcZ,1,2,2,,35,60,55,19,25,38,-71,-81,46,-80,-41,-60,,63,40,38,81,73,61,71,81,39,80,41,60
R_2QRSf9O7HbmjcMd,1,2,2,,91,60,85,67,0,69,-21,-89,-54,-64,-46,-4,,9,40,15,33,100,31,21,89,59,64,51,5
R_6M66jkmyEHfd70J,1,2,1,,53,-3,20,7,6,8,-27,-38,-81,-41,-37,-22,,29,51,51,65,51,51,44,51,91,51,65,69
R_sccXdv6HHpxZBU5,1,2,2,,-38,4,-30,-8,-3,17,-25,-19,-71,-60,-49,-82,,70,92,63,91,66,43,40,55,83,78,71,85
R_yr87Y9QDWqtZgDn,1,2,1,,8,-1,9,0,34,-7,14,-32,-9,-7,-28,-3,,56,67,38,100,43,82,58,100,89,43,100,36
R_2U3jFZnbjfrGJDj,1,2,2,,-2,-45,28,-11,-2,64,12,-49,-7,-39,-62,-26,,52,52,41,79,71,25,33,52,100,39,63,27
R_3nIU4fKy7lK3Wse,1,2,1,,6,-34,30,-8,7,5,19,-28,-41,1,3,-41,,70,66,42,42,61,62,63,96,71,41,69,92
R_2q9K32aQN0Apz6g,1,2,1,,32,-10,-74,15,5,-8,34,-24,-51,1,-15,1,,38,81,81,66,70,40,40,62,63,31,81,28
R_10MiQDQ34iipq0P,1,2,1,,17,35,-21,7,1,-5,-8,6,-16,-22,7,2,,26,41,87,53,63,73,43,53,85,53,64,40
R_1ghE13kX7fUuoF5,1,2,2,,91,55,3,37,77,5,-28,-99,-100,-99,-78,35,,9,45,97,63,23,95,28,99,100,99,81,7
R_2uO0ALgDDHAFC4l,1,2,1,,75,29,22,-2,7,13,-28,-27,-27,-78,-72,-52,,17,71,8,83,92,87,37,59,100,98,89,81
R_3QEHE8q5ZZNp2Oi,1,2,1,,55,11,4,-20,2,-8,-12,-27,-55,-80,-20,-20,,20,70,96,80,85,25,25,30,100,80,100,60
R_OQlOPsAVZ2cWsY9,1,2,1,,69,-36,-25,-9,9,0,-56,-10,-85,-28,-5,-55,,13,46,58,81,66,71,61,54,89,37,21,77
R_1gTiWQtr6p5SY9W,1,2,1,,32,41,-16,19,-6,51,-6,-3,-70,-49,-20,-34,,59,55,62,79,97,42,20,50,96,50,58,36
R_1QEoAqyVYA0qZAt,1,2,1,,-3,35,10,-16,0,3,-48,0,-67,-47,-22,-7,,71,45,70,81,92,54,61,41,71,61,41,20
R_231RcxKcH55zm7I,1,2,1,,43,61,-11,0,29,10,-20,-30,-63,-53,-82,3,,29,20,92,81,71,31,30,50,82,82,91,7
R_2TXhXssAAuERF3M,1,2,1,,45,40,33,14,-2,-8,-76,-67,-13,-75,-88,4,,40,42,35,60,37,35,81,100,92,100,100,22
R_2S3syVD6w8XzBRN,1,2,2,,4,-50,-47,8,5,7,-46,2,-6,4,2,9,,77,83,70,79,78,73,72,22,92,77,77,75
R_3PAoexM2qn5fRAT,1,2,1,,42,49,-15,-36,18,-5,-47,-52,-92,-51,-83,-31,,50,51,51,75,82,25,70,72,100,51,83,31
R_uePxepG0zTsOlJD,1,2,2,,40,25,10,10,0,20,-65,-20,-10,-50,-20,-10,,60,60,90,90,90,60,75,50,90,50,20,20
R_1qWkAOUAZSm3uCq,1,2,1,,10,25,-4,-3,14,46,-71,-44,-21,-70,-18,2,,62,47,90,64,68,54,81,44,25,70,53,52
R_PMqsHOvkiPC1jzP,1,2,2,,43,25,71,-15,5,-11,-53,-55,8,-44,-14,-6,,12,18,26,100,94,91,61,73,92,47,15,21
R_yKr87mCftCAJObD,1,2,1,,-14,60,77,-24,16,14,14,-39,-17,-51,34,-39,,66,35,2,99,84,52,29,91,94,80,18,51
R_1GTdyyK7MX7LyIB,1,2,1,,25,-34,9,0,24,50,10,-48,-39,13,-8,11,,40,50,60,80,50,50,50,100,90,50,50,50
R_1lxC7vyAjeLr6w9,1,2,2,,-11,-67,29,-89,1,17,0,-33,-6,-66,-22,-56,,24,77,39,97,82,63,21,61,81,70,30,73
R_1QrsQQ9r2ssDVqR,1,2,1,,-4,5,0,-38,6,45,-58,-41,-15,-40,-4,-25,,96,95,100,96,88,49,69,57,100,50,10,25
R_3kjoLNyFv5AAYHF,1,2,2,,14,34,68,-5,-17,-10,7,-10,-5,-23,-43,0,,40,40,0,100,99,82,12,50,100,51,73,16
R_Ua85vlv22ysSfbX,1,2,1,,-17,43,47,32,15,6,-30,23,-2,-56,-7,48,,72,57,53,66,82,49,42,76,100,56,40,52
R_Y4DEiOnFSlO2PpD,1,2,2,,30,10,0,0,0,40,-50,-30,-70,-50,-40,-71,,70,80,100,100,100,60,60,40,70,50,40,71
